t,scope,prob.mean,measurement,scenario,prob.sigma,prob.type
1.0,ode_,drug_c,7.937041108062678,scn0,0.2,lognormal
2.0,ode_,drug_c,5.4933431431555295,scn0,0.2,lognormal
4.0,ode_,drug_c,2.3242797816907963,scn0,0.2,lognormal
8.0,ode_,drug_c,2.1085612413187995,scn0,0.2,lognormal
24.0,ode_,drug_c,0.7039153505323138,scn0,0.2,lognormal
48.0,ode_,drug_c,0.1286070658849123,scn0,0.2,lognormal
96.0,ode_,drug_c,0.022490792230118628,scn0,0.2,lognormal
1.0,ode_,pd_output_1,9.609717168104332,scn0,2.0,normal
2.0,ode_,pd_output_1,9.682830259796749,scn0,2.0,normal
4.0,ode_,pd_output_1,12.08337186711475,scn0,2.0,normal
8.0,ode_,pd_output_1,10.165062460457682,scn0,2.0,normal
24.0,ode_,pd_output_1,14.15096134939935,scn0,2.0,normal
48.0,ode_,pd_output_1,11.720603058036305,scn0,2.0,normal
96.0,ode_,pd_output_1,9.217756935109197,scn0,2.0,normal
