t,scope,prob.mean,measurement,scenario,prob.type,prob.sigma
1.0,ode_,drug_c,7.656597226182082,scn0,lognormal,sigma1
2.0,ode_,drug_c,6.124259620404314,scn0,lognormal,sigma1
4.0,ode_,drug_c,2.2287731074552006,scn0,lognormal,sigma1
8.0,ode_,drug_c,2.265729614111011,scn0,lognormal,sigma1
24.0,ode_,drug_c,0.7341275783573125,scn0,lognormal,sigma1
48.0,ode_,drug_c,0.12008438028776598,scn0,lognormal,sigma1
96.0,ode_,drug_c,0.027621164176033774,scn0,lognormal,sigma1
1.0,ode_,pd_output_1,9.284824438657417,scn0,normal,sigma2
2.0,ode_,pd_output_1,9.98773151499318,scn0,normal,sigma2
4.0,ode_,pd_output_1,11.621676892835781,scn0,normal,sigma2
8.0,ode_,pd_output_1,11.010020176833661,scn0,normal,sigma2
24.0,ode_,pd_output_1,13.264249620311173,scn0,normal,sigma2
48.0,ode_,pd_output_1,11.707029256484695,scn0,normal,sigma2
96.0,ode_,pd_output_1,9.112105329225466,scn0,normal,sigma2
